# Combined experiment tracking
timestamp,exp_id,exp_type,directory,ntasks,ntasks_per_node,ncore,kpar,job_id,runtime_seconds,status
2025-05-21 04:30:22,20250521_025319_839b26c4,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,16,16,8,2,19058_5,8,COMPLETED
2025-05-21 04:30:32,20250521_025319_839b26c4,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,16,16,8,2,19058_6,10,COMPLETED
2025-05-21 04:39:51,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,20,20,2,5,19059_3,8,COMPLETED
2025-05-21 04:46:43,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,20,20,2,5,19059_5,9,COMPLETED
2025-05-21 04:46:53,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,20,20,2,5,19059_6,10,COMPLETED
2025-05-21 04:49:20,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,20,20,4,5,19060_3,8,COMPLETED
2025-05-21 04:56:18,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,20,20,4,5,19060_5,9,COMPLETED
2025-05-21 04:56:28,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,20,20,4,5,19060_6,10,COMPLETED
2025-05-21 04:59:08,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,20,20,8,1,19061_3,12,COMPLETED
2025-05-21 05:10:05,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,20,20,8,1,19061_5,10,COMPLETED
2025-05-21 05:10:19,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,20,20,8,1,19061_6,14,COMPLETED
2025-05-21 05:19:18,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,24,24,2,4,19062_3,9,COMPLETED
2025-05-21 05:19:28,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,24,24,2,4,19062_5,9,COMPLETED
2025-05-21 05:19:38,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,24,24,2,4,19062_6,10,COMPLETED
2025-05-21 05:29:16,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,24,24,4,3,19063_3,8,COMPLETED
2025-05-21 05:29:25,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,24,24,4,3,19063_5,9,COMPLETED
2025-05-21 05:29:35,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,24,24,4,3,19063_6,10,COMPLETED
2025-05-21 05:36:58,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,24,24,8,3,19064_3,8,COMPLETED
2025-05-21 05:37:14,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,24,24,8,3,19064_5,9,COMPLETED
2025-05-21 05:37:23,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,24,24,8,3,19064_6,9,COMPLETED
2025-05-21 05:44:10,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,32,32,2,4,19065_3,9,COMPLETED
2025-05-21 05:45:35,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,32,32,2,4,19065_5,10,COMPLETED
2025-05-21 05:45:45,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,32,32,2,4,19065_6,10,COMPLETED
2025-05-21 05:51:10,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,32,32,4,4,19066_3,9,COMPLETED
2025-05-21 05:53:18,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,32,32,4,4,19066_5,9,COMPLETED
2025-05-21 05:53:27,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,32,32,4,4,19066_6,9,COMPLETED
2025-05-21 05:57:18,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B11--Hf2_Pt2_ml-1002077_,32,32,8,2,19067_3,9,COMPLETED
2025-05-21 05:59:25,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B1--Ag4_Pt4_ml-1000432_,32,32,8,2,19067_5,9,COMPLETED
2025-05-21 05:59:34,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/B19--Pt2_Au2_ml-1002593_,32,32,8,2,19067_6,9,COMPLETED
